PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1626145,Tyus Jones,PHX,29.0,6-1,73,196,Guard
1642279,Ulrich Chomche,TOR,19.0,6-11,83,235,Center
203995,Vasilije Micic,PHX,31.0,6-3,75,188,Guard
1641705,Victor Wembanyama,SAS,21.0,7-3,87,235,Forward-Center
1631246,Vince Williams Jr.,MEM,24.0,6-4,76,205,Guard
1628427,Vlatko Čančar,DEN,28.0,6-8,80,236,Forward
1630249,Vít Krejčí,ATL,25.0,6-8,80,195,Guard
1631117,Walker Kessler,UTA,23.0,7-0,84,245,Center
1628976,Wendell Carter Jr.,ORL,26.0,6-10,82,270,Center-Forward
1631111,Wendell Moore Jr.,CHA,23.0,6-5,77,215,Guard
1630214,Xavier Tillman,BOS,26.0,6-7,79,245,Forward
1642530,Yuki Kawamura,MEM,24.0,5-8,68,159,Guard
1641879,Yuri Collins,GSW,24.0,6-0,72,190,Guard
1642274,Yves Missi,NOP,21.0,6-11,83,235,Center
1642258,Zaccharie Risacher,ATL,20.0,6-8,80,200,Forward
1628380,Zach Collins,CHI,27.0,6-11,83,250,Forward-Center
1641744,Zach Edey,MEM,23.0,7-4,88,305,Center
203897,Zach LaVine,SAC,30.0,6-5,77,200,Guard
1630192,Zeke Nnaji,DEN,24.0,6-9,81,240,Forward-Center
1630533,Ziaire Williams,BKN,23.0,6-9,81,185,Forward
1629627,Zion Williamson,NOP,24.0,6-6,78,284,Forward
1642389,Zyon Pullin,MEM,24.0,6-4,76,206,Guard
